,state,act_2018_participation_percentage,act_2018_composite,sat_2018_participation_percentage,sat_2018_evidence_based_reading_and_writing,sat_2018_math,sat_2018_total
0,Alabama,100.0,19.1,6.0,595,571,1166
1,Alaska,33.0,20.8,43.0,562,544,1106
2,Arizona,66.0,19.2,29.0,577,572,1149
3,Arkansas,100.0,19.4,5.0,592,576,1169
4,California,27.0,22.7,60.0,540,536,1076
5,Colorado,30.0,23.9,100.0,519,506,1025
6,Connecticut,26.0,25.6,100.0,535,519,1053
7,Delaware,17.0,23.8,100.0,505,492,998
8,District of Columbia,32.0,23.6,92.0,497,480,977
9,Florida,66.0,19.9,56.0,550,549,1099
10,Georgia,53.0,21.4,70.0,542,522,1064
11,Hawaii,89.0,18.9,56.0,480,530,1010
12,Idaho,36.0,22.3,100.0,508,493,1001
13,Illinois,43.0,23.9,99.0,513,506,1019
14,Indiana,32.0,22.5,63.0,542,532,1074
15,Iowa,68.0,21.8,3.0,634,631,1265
16,Kansas,71.0,21.6,4.0,633,631,1265
17,Kentucky,100.0,20.2,4.0,630,618,1248
18,Louisiana,100.0,19.2,4.0,615,595,1210
19,Maine,7.0,24.0,99.0,512,501,1013
20,Maryland,31.0,22.5,76.0,545,535,1080
21,Massachusetts,25.0,25.5,80.0,562,563,1125
22,Michigan,22.0,24.2,100.0,511,499,1011
23,Minnesota,99.0,21.3,4.0,643,655,1298
24,Mississippi,100.0,18.6,3.0,630,606,1236
25,Missouri,100.0,20.0,4.0,633,629,1262
26,Montana,100.0,20.0,10.0,606,592,1198
27,Nebraska,100.0,20.1,3.0,629,623,1252
28,Nevada,100.0,17.7,23.0,574,566,1140
29,New Hampshire,16.0,25.1,96.0,535,528,1063
30,New Jersey,31.0,23.7,82.0,547,547,1094
31,New Mexico,67.0,19.4,16.0,552,540,1093
32,New York,27.0,24.5,79.0,534,534,1068
33,North Carolina,100.0,19.1,52.0,554,543,1098
34,North Dakota,98.0,20.3,2.0,640,643,1283
35,Ohio,100.0,20.3,18.0,552,547,1099
36,Oklahoma,100.0,19.3,8.0,541,521,1062
37,Oregon,42.0,21.3,48.0,564,553,1117
38,Pennsylvania,20.0,23.5,70.0,547,539,1086
39,Rhode Island,15.0,24.2,97.0,513,505,1018
40,South Carolina,100.0,18.3,55.0,547,523,1070
41,South Dakota,77.0,21.9,3.0,622,618,1240
42,Tennessee,100.0,19.6,6.0,624,607,1231
43,Texas,45.0,20.7,66.0,520,512,1032
44,Utah,100.0,20.4,4.0,480,530,1010
45,Vermont,24.0,24.1,64.0,565,554,1120
46,Virginia,24.0,23.9,68.0,567,550,1117
47,Washington,24.0,22.2,69.0,543,538,1081
48,West Virginia,65.0,20.3,28.0,513,486,999
49,Wisconsin,100.0,20.5,3.0,641,653,1294
50,Wyoming,100.0,20.0,3.0,633,625,1257
